date,price
06/14/2022,22206.79296875
06/13/2022,22487.388671875
06/12/2022,26762.6484375
06/11/2022,28360.810546875
06/10/2022,29083.8046875
06/09/2022,30111.998046875
06/08/2022,30214.35546875
06/07/2022,31155.478515625
06/06/2022,31370.671875
06/05/2022,29906.662109375
06/04/2022,29832.9140625
06/03/2022,29704.390625
06/02/2022,30467.48828125
06/01/2022,29799.080078125
05/31/2022,31792.310546875
05/30/2022,31726.390625
05/29/2022,29445.95703125
05/28/2022,28814.900390625
05/27/2022,28627.57421875
05/26/2022,29267.224609375
05/25/2022,29562.361328125
05/24/2022,29655.5859375
05/23/2022,29098.91015625
05/22/2022,30323.72265625
05/21/2022,29432.2265625
05/20/2022,29200.740234375
05/19/2022,30314.333984375
05/18/2022,28720.271484375
05/17/2022,30425.857421875
05/16/2022,29862.91796875
05/15/2022,31305.11328125
05/14/2022,30101.265625
05/13/2022,29283.103515625
05/12/2022,29047.751953125
05/11/2022,28936.35546875
05/10/2022,31022.90625
05/09/2022,30296.953125
05/08/2022,34059.265625
05/07/2022,35501.953125
05/06/2022,36040.921875
05/05/2022,36575.140625
05/04/2022,39698.37109375
05/03/2022,37750.453125
05/02/2022,38529.328125
05/01/2022,38469.09375
04/30/2022,37714.875
04/29/2022,38609.82421875
04/28/2022,39773.828125
04/27/2022,39241.12109375
04/26/2022,38117.4609375
04/25/2022,40458.30859375
04/24/2022,39469.29296875
04/23/2022,39486.73046875
04/22/2022,39740.3203125
04/21/2022,40527.36328125
04/20/2022,41374.37890625
04/19/2022,41502.75
04/18/2022,40826.21484375
04/17/2022,39716.953125
04/16/2022,40424.484375
04/15/2022,40553.46484375
04/14/2022,39935.515625
04/13/2022,41166.73046875
04/12/2022,40127.18359375
04/11/2022,39521.90234375
04/10/2022,42207.671875
04/09/2022,42782.13671875
04/08/2022,42287.6640625
04/07/2022,43503.84765625
04/06/2022,43206.73828125
04/05/2022,45555.9921875
04/04/2022,46622.67578125
04/03/2022,46453.56640625
04/02/2022,45868.94921875
04/01/2022,46281.64453125
03/31/2022,45538.67578125
03/30/2022,47062.6640625
03/29/2022,47465.73046875
03/28/2022,47128.00390625
03/27/2022,46820.4921875
03/26/2022,44500.828125
03/25/2022,44348.73046875
03/24/2022,43960.93359375
03/23/2022,42892.95703125
03/22/2022,42358.80859375
03/21/2022,41077.99609375
03/20/2022,41247.82421875
03/19/2022,42190.65234375
03/18/2022,41801.15625
03/17/2022,40951.37890625
03/16/2022,41143.9296875
03/15/2022,39338.78515625
03/14/2022,39666.75390625
03/13/2022,37849.6640625
03/12/2022,38904.01171875
03/11/2022,38794.97265625
03/10/2022,39437.4609375
03/09/2022,41982.92578125
03/08/2022,38737.26953125
03/07/2022,38062.0390625
03/06/2022,38419.984375
03/05/2022,39400.5859375
03/04/2022,39137.60546875
03/03/2022,42451.7890625
03/02/2022,43924.1171875
03/01/2022,44354.63671875
02/28/2022,43193.234375
02/27/2022,37709.78515625
02/26/2022,39105.1484375
02/25/2022,39214.21875
02/24/2022,38332.609375
02/23/2022,37296.5703125
02/22/2022,38286.02734375
02/21/2022,37075.28125
02/20/2022,38431.37890625
02/19/2022,40122.15625
02/18/2022,40030.9765625
02/17/2022,40538.01171875
02/16/2022,43961.859375
02/15/2022,44575.203125
02/14/2022,42586.91796875
02/13/2022,42197.515625
02/12/2022,42244.46875
02/11/2022,42407.9375
02/10/2022,43565.11328125
02/09/2022,44338.796875
02/08/2022,44118.4453125
02/07/2022,43840.28515625
02/06/2022,42412.43359375
02/05/2022,41441.1640625
02/04/2022,41500.875
02/03/2022,37154.6015625
02/02/2022,36952.984375
02/01/2022,38743.2734375
01/31/2022,38483.125
01/30/2022,37917.6015625
01/29/2022,38138.1796875
01/28/2022,37784.33203125
01/27/2022,37138.234375
01/26/2022,36852.12109375
01/25/2022,36954.00390625
01/24/2022,36654.328125
01/23/2022,36276.8046875
01/22/2022,35030.25
01/21/2022,36457.31640625
01/20/2022,40680.41796875
01/19/2022,41744.328125
01/18/2022,42375.6328125
01/17/2022,42250.55078125
01/16/2022,43113.87890625
01/15/2022,43177.3984375
01/14/2022,43099.69921875
01/13/2022,42591.5703125
01/12/2022,43949.1015625
01/11/2022,42735.85546875
01/10/2022,41821.26171875
01/09/2022,41911.6015625
01/08/2022,41733.94140625
01/07/2022,41557.90234375
01/06/2022,43160.9296875
01/05/2022,43569.00390625
01/04/2022,45897.57421875
01/03/2022,46458.1171875
01/02/2022,47345.21875
01/01/2022,47686.8125
12/31/2021,46306.4453125
12/30/2021,47178.125
12/29/2021,46444.7109375
12/28/2021,47588.85546875
12/27/2021,50640.41796875
12/26/2021,50809.515625
12/25/2021,50429.859375
12/24/2021,50822.1953125
12/23/2021,50784.5390625
12/22/2021,48628.51171875
12/21/2021,48936.61328125
12/20/2021,46880.27734375
12/19/2021,46707.015625
12/18/2021,46848.77734375
12/17/2021,46202.14453125
12/16/2021,47665.42578125
12/15/2021,48896.72265625
12/14/2021,46612.6328125
12/13/2021,46737.48046875
12/12/2021,50098.3359375
12/11/2021,49362.5078125
12/10/2021,47243.3046875
12/09/2021,47672.12109375
12/08/2021,50504.796875
12/07/2021,50700.0859375
12/06/2021,50582.625
12/05/2021,49368.84765625
12/04/2021,49200.703125
12/03/2021,53598.24609375
12/02/2021,56477.81640625
12/01/2021,57229.828125
11/30/2021,57005.42578125
11/29/2021,57806.56640625
11/28/2021,57248.45703125
11/27/2021,54815.078125
11/26/2021,53569.765625
11/25/2021,57274.6796875
11/24/2021,56280.42578125
11/23/2021,57569.07421875
11/22/2021,56289.2890625
11/21/2021,58730.4765625
11/20/2021,59697.1953125
11/19/2021,58119.578125
11/18/2021,56942.13671875
11/17/2021,60368.01171875
11/16/2021,60161.24609375
11/15/2021,63557.87109375
11/14/2021,65466.83984375
11/13/2021,64469.52734375
11/12/2021,64155.94140625
11/11/2021,64949.9609375
11/10/2021,64995.23046875
11/09/2021,66971.828125
11/08/2021,67566.828125
11/07/2021,63326.98828125
11/06/2021,61527.48046875
11/05/2021,61125.67578125
11/04/2021,61452.23046875
11/03/2021,62970.046875
11/02/2021,63226.40234375
11/01/2021,61004.40625
10/31/2021,61318.95703125
10/30/2021,61888.83203125
10/29/2021,62227.96484375
10/28/2021,60622.13671875
10/27/2021,58482.38671875
10/26/2021,60363.79296875
10/25/2021,63039.82421875
10/24/2021,60930.8359375
10/23/2021,61393.6171875
10/22/2021,60692.265625
10/21/2021,62210.171875
10/20/2021,65992.8359375
10/19/2021,64261.9921875
10/18/2021,62026.078125
10/17/2021,61553.6171875
10/16/2021,60892.1796875
10/15/2021,61593.94921875
10/14/2021,57321.5234375
10/13/2021,57401.09765625
10/12/2021,56041.05859375
10/11/2021,57484.7890625
10/10/2021,54771.578125
10/09/2021,54968.22265625
10/08/2021,53967.84765625
10/07/2021,53805.984375
10/06/2021,55361.44921875
10/05/2021,51514.8125
10/04/2021,49112.90234375
10/03/2021,48199.953125
10/02/2021,47711.48828125
10/01/2021,48116.94140625
09/30/2021,43790.89453125
09/29/2021,41564.36328125
09/28/2021,41034.54296875
09/27/2021,42235.73046875
09/26/2021,43208.5390625
09/25/2021,42716.59375
09/24/2021,42839.75
09/23/2021,44895.09765625
09/22/2021,43574.5078125
09/21/2021,40693.67578125
09/20/2021,42843.80078125
09/19/2021,47260.21875
09/18/2021,48278.36328125
09/17/2021,47267.51953125
09/16/2021,47783.359375
09/15/2021,48176.34765625
09/14/2021,47092.4921875
09/13/2021,44963.07421875
09/12/2021,46063.26953125
09/11/2021,45201.45703125
09/10/2021,44883.91015625
09/09/2021,46391.421875
09/08/2021,46091.390625
09/07/2021,46811.12890625
09/06/2021,52633.53515625
09/05/2021,51753.41015625
09/04/2021,49944.625
09/03/2021,50025.375
09/02/2021,49327.72265625
09/01/2021,48847.02734375
08/31/2021,47166.6875
08/30/2021,47054.984375
08/29/2021,48829.83203125
08/28/2021,48902.40234375
08/27/2021,49058.66796875
08/26/2021,46942.21875
08/25/2021,48960.7890625
08/24/2021,47706.1171875
08/23/2021,49546.1484375
08/22/2021,49321.65234375
08/21/2021,48905.4921875
08/20/2021,49339.17578125
08/19/2021,46717.578125
08/18/2021,44801.1875
08/17/2021,44695.359375
08/16/2021,46004.484375
08/15/2021,47047.00390625
08/14/2021,47096.9453125
08/13/2021,47793.3203125
08/12/2021,44428.2890625
08/11/2021,45593.63671875
08/10/2021,45585.03125
08/09/2021,46365.40234375
08/08/2021,43798.1171875
08/07/2021,44555.80078125
08/06/2021,42816.5
08/05/2021,40869.5546875
08/04/2021,39747.50390625
08/03/2021,38152.98046875
08/02/2021,39201.9453125
08/01/2021,39974.89453125
07/31/2021,41626.1953125
07/30/2021,42235.546875
07/29/2021,40008.421875
07/28/2021,39995.90625
07/27/2021,39406.94140625
07/26/2021,37337.53515625
07/25/2021,35350.1875
07/24/2021,34292.4453125
07/23/2021,33581.55078125
07/22/2021,32313.10546875
07/21/2021,32110.693359375
07/20/2021,29807.34765625
07/19/2021,30817.83203125
07/18/2021,31796.810546875
07/17/2021,31533.068359375
07/16/2021,31421.5390625
07/15/2021,31780.73046875
07/14/2021,32822.34765625
07/13/2021,32702.025390625
07/12/2021,33155.84765625
07/11/2021,34240.1875
07/10/2021,33520.51953125
07/09/2021,33798.01171875
07/08/2021,32877.37109375
07/07/2021,33855.328125
07/06/2021,34235.1953125
07/05/2021,33746.00390625
07/04/2021,35287.78125
07/03/2021,34668.546875
07/02/2021,33897.046875
07/01/2021,33572.1171875
06/30/2021,35040.8359375
06/29/2021,35867.77734375
06/28/2021,34434.3359375
06/27/2021,34649.64453125
06/26/2021,32186.27734375
06/25/2021,31637.779296875
06/24/2021,34662.4375
06/23/2021,33723.02734375
06/22/2021,32505.66015625
06/21/2021,31676.693359375
06/20/2021,35698.296875
06/19/2021,35615.87109375
06/18/2021,35787.24609375
06/17/2021,38053.50390625
06/16/2021,38347.0625
06/15/2021,40406.26953125
06/14/2021,40218.4765625
06/13/2021,39097.859375
06/12/2021,35552.515625
06/11/2021,37334.3984375
06/10/2021,36702.59765625
06/09/2021,37345.12109375
06/08/2021,33472.6328125
06/07/2021,33560.70703125
06/06/2021,35862.37890625
06/05/2021,35551.95703125
06/04/2021,36894.40625
06/03/2021,39208.765625
06/02/2021,37575.1796875
06/01/2021,36684.92578125
05/31/2021,37332.85546875
05/30/2021,35678.12890625
05/29/2021,34616.06640625
05/28/2021,35697.60546875
05/27/2021,38436.96875
05/26/2021,39294.19921875
05/25/2021,38402.22265625
05/24/2021,38705.98046875
05/23/2021,34770.58203125
05/22/2021,37536.6328125
05/21/2021,37304.69140625
05/20/2021,40782.73828125
05/19/2021,37002.44140625
05/18/2021,42909.40234375
05/17/2021,43537.51171875
05/16/2021,46456.05859375
05/15/2021,46760.1875
05/14/2021,49880.53515625
05/13/2021,49716.19140625
05/12/2021,49150.53515625
05/11/2021,56704.57421875
05/10/2021,55859.796875
05/09/2021,58232.31640625
05/08/2021,58803.77734375
05/07/2021,57356.40234375
05/06/2021,56396.515625
05/05/2021,57424.0078125
05/04/2021,53333.5390625
05/03/2021,57200.29296875
05/02/2021,56631.078125
05/01/2021,57828.05078125
04/30/2021,57750.17578125
04/29/2021,53555.109375
04/28/2021,54824.703125
04/27/2021,55033.1171875
04/26/2021,54021.75390625
04/25/2021,49004.25390625
04/24/2021,50050.8671875
04/23/2021,51093.65234375
04/22/2021,51762.2734375
04/21/2021,53906.08984375
04/20/2021,56473.03125
04/19/2021,55724.265625
04/18/2021,56216.18359375
04/17/2021,60683.8203125
04/16/2021,61572.7890625
04/15/2021,63314.01171875
04/14/2021,63109.6953125
04/13/2021,63503.45703125
04/12/2021,59893.453125
04/11/2021,60204.96484375
04/10/2021,59793.234375
04/09/2021,58245.00390625
04/08/2021,58323.953125
04/07/2021,56048.9375
04/06/2021,58192.359375
04/05/2021,59057.87890625
04/04/2021,58758.5546875
04/03/2021,57603.890625
04/02/2021,59384.3125
04/01/2021,59095.80859375
03/31/2021,58918.83203125
03/30/2021,58917.69140625
03/29/2021,57750.19921875
03/28/2021,55950.74609375
03/27/2021,55973.51171875
03/26/2021,55137.3125
03/25/2021,51704.16015625
03/24/2021,52774.265625
03/23/2021,54738.9453125
03/22/2021,54529.14453125
03/21/2021,57523.421875
03/20/2021,58313.64453125
03/19/2021,58346.65234375
03/18/2021,57858.921875
03/17/2021,58870.89453125
03/16/2021,56804.90234375
03/15/2021,55907.19921875
03/14/2021,59302.31640625
03/13/2021,61243.0859375
03/12/2021,57332.08984375
03/11/2021,57805.12109375
03/10/2021,56008.55078125
03/09/2021,54824.1171875
03/08/2021,52246.5234375
03/07/2021,51206.69140625
03/06/2021,48912.3828125
03/05/2021,48927.3046875
03/04/2021,48561.16796875
03/03/2021,50538.2421875
03/02/2021,48378.98828125
03/01/2021,49631.2421875
02/28/2021,45137.76953125
02/27/2021,46188.453125
02/26/2021,46339.76171875
02/25/2021,47093.8515625
02/24/2021,49705.33203125
02/23/2021,48824.42578125
02/22/2021,54207.3203125
02/21/2021,57539.9453125
02/20/2021,56099.51953125
02/19/2021,55888.1328125
02/18/2021,51679.796875
02/17/2021,52149.0078125
02/16/2021,49199.87109375
02/15/2021,47945.05859375
02/14/2021,48717.2890625
02/13/2021,47105.515625
02/12/2021,47504.8515625
02/11/2021,47909.33203125
02/10/2021,44918.18359375
02/09/2021,46481.10546875
02/08/2021,46196.46484375
02/07/2021,38903.44140625
02/06/2021,39266.01171875
02/05/2021,38144.30859375
02/04/2021,36926.06640625
02/03/2021,37472.08984375
02/02/2021,35510.2890625
02/01/2021,33537.17578125
01/31/2021,33114.359375
01/30/2021,34269.5234375
01/29/2021,34316.38671875
01/28/2021,33466.09765625
01/27/2021,30432.546875
01/26/2021,32569.849609375
01/25/2021,32366.392578125
01/24/2021,32289.37890625
01/23/2021,32067.642578125
01/22/2021,33005.76171875
01/21/2021,30825.69921875
01/20/2021,35547.75
01/19/2021,36069.8046875
01/18/2021,36630.07421875
01/17/2021,35791.27734375
01/16/2021,36178.140625
01/15/2021,36825.3671875
01/14/2021,39187.328125
01/13/2021,37316.359375
01/12/2021,33922.9609375
01/11/2021,35566.65625
01/10/2021,38356.44140625
01/09/2021,40254.546875
01/08/2021,40797.609375
01/07/2021,39371.04296875
01/06/2021,36824.36328125
01/05/2021,33992.4296875
01/04/2021,31971.9140625
01/03/2021,32782.0234375
01/02/2021,32127.267578125
01/01/2021,29374.15234375
