date,price
11/25/2011,51.9386
11/28/2011,53.7314
11/29/2011,53.3143
11/30/2011,54.6
12/01/2011,55.4186
12/02/2011,55.6714
12/05/2011,56.1443
12/06/2011,55.85
12/07/2011,55.5843
12/08/2011,55.8086
12/09/2011,56.2314
12/12/2011,55.9771
12/13/2011,55.5443
12/14/2011,54.3129
12/15/2011,54.1343
12/16/2011,54.4314
12/19/2011,54.6014
12/20/2011,56.5643
12/21/2011,56.635
12/22/2011,56.9357
12/23/2011,57.6186
12/27/2011,58.0757
12/28/2011,57.52
12/29/2011,57.8743
12/30/2011,57.8571
01/03/2012,58.7471
01/04/2012,59.0629
01/05/2012,59.7186
01/06/2012,60.3429
01/09/2012,60.2471
01/10/2012,60.4629
01/11/2012,60.3643
01/12/2012,60.1986
01/13/2012,59.9729
01/17/2012,60.6714
01/18/2012,61.3014
01/19/2012,61.1071
01/20/2012,60.0429
01/23/2012,61.0584
01/24/2012,60.0586
01/25/2012,63.8086
01/26/2012,63.5186
01/27/2012,63.8971
01/30/2012,64.7157
01/31/2012,65.2114
02/01/2012,65.17
02/02/2012,65.0171
02/03/2012,65.6686
02/06/2012,66.2814
02/07/2012,66.9757
02/08/2012,68.0971
02/09/2012,70.4529
02/10/2012,70.4886
02/13/2012,71.8
02/14/2012,72.78
02/15/2012,71.0957
02/16/2012,71.7443
02/17/2012,71.7314
02/21/2012,73.55
02/22/2012,73.2914
02/23/2012,73.77
02/24/2012,74.63
02/27/2012,75.1086
02/28/2012,76.4871
02/29/2012,77.4914
03/01/2012,77.7814
03/02/2012,77.8829
03/05/2012,76.1657
03/06/2012,75.7514
03/07/2012,75.8129
03/08/2012,77.4271
03/09/2012,77.8814
03/12/2012,78.8571
03/13/2012,81.1571
03/14/2012,84.2257
03/15/2012,83.6514
03/16/2012,83.6529
03/19/2012,85.8714
03/20/2012,86.5657
03/21/2012,86.0714
03/22/2012,85.62
03/23/2012,85.15
03/26/2012,86.7114
03/27/2012,87.7829
03/28/2012,88.2314
03/29/2012,87.1229
03/30/2012,85.65
04/02/2012,88.3757
04/03/2012,89.9029
04/04/2012,89.1871
04/05/2012,90.5257
04/09/2012,90.89
04/10/2012,89.7771
04/11/2012,89.4571
04/12/2012,88.9671
04/13/2012,86.4614
04/16/2012,82.8757
04/17/2012,87.1
04/18/2012,86.9057
04/19/2012,83.92
04/20/2012,81.8543
04/23/2012,81.6714
04/24/2012,80.04
04/25/2012,87.1429
04/26/2012,86.8143
04/27/2012,86.1429
04/30/2012,83.4257
05/01/2012,83.1614
05/02/2012,83.7114
05/03/2012,83.1171
05/04/2012,80.75
05/07/2012,81.3543
05/08/2012,81.1686
05/09/2012,81.3114
05/10/2012,81.5029
05/11/2012,80.9586
05/14/2012,79.7457
05/15/2012,79.0243
05/16/2012,78.0107
05/17/2012,75.7314
05/18/2012,75.7686
05/21/2012,80.1829
05/22/2012,79.5671
05/23/2012,81.5086
05/24/2012,80.76
05/25/2012,80.3271
05/29/2012,81.7529
05/30/2012,82.7386
05/31/2012,82.5329
06/01/2012,80.1414
06/04/2012,80.6129
06/05/2012,80.4043
06/06/2012,81.6371
06/07/2012,81.6743
06/08/2012,82.9029
06/11/2012,81.5957
06/12/2012,82.3086
06/13/2012,81.7371
06/14/2012,81.6471
06/15/2012,82.0186
06/18/2012,83.6829
06/19/2012,83.9157
06/20/2012,83.6773
06/21/2012,82.5243
06/22/2012,83.1571
06/25/2012,81.5379
06/26/2012,81.7179
06/27/2012,82.0714
06/28/2012,81.2929
06/29/2012,83.4286
07/02/2012,84.6457
07/03/2012,85.63
07/05/2012,87.1343
07/06/2012,86.5543
07/09/2012,87.6986
07/10/2012,86.8871
07/11/2012,86.3471
07/12/2012,85.5571
07/13/2012,86.4243
07/16/2012,86.7014
07/17/2012,86.7057
07/18/2012,86.6086
07/19/2012,87.76
07/20/2012,86.3286
07/23/2012,86.2614
07/24/2012,85.8457
07/25/2012,82.1386
07/26/2012,82.1257
07/27/2012,83.5943
07/30/2012,85.0043
07/31/2012,87.2514
08/01/2012,86.6871
08/02/2012,86.8271
08/03/2012,87.9571
08/06/2012,88.9357
08/07/2012,88.702
08/08/2012,88.5514
08/09/2012,88.6757
08/10/2012,88.8143
08/13/2012,90
08/14/2012,90.2414
08/15/2012,90.1186
08/16/2012,90.9057
08/17/2012,92.5871
08/20/2012,95.0214
08/21/2012,93.7231
08/22/2012,95.5529
08/23/2012,94.6614
08/24/2012,94.746
08/27/2012,96.5257
08/28/2012,96.4
08/29/2012,96.2094
08/30/2012,94.8383
08/31/2012,95.0343
09/04/2012,96.4243
09/05/2012,95.7471
09/06/2012,96.61
09/07/2012,97.2057
09/10/2012,94.6771
09/11/2012,94.37
09/12/2012,95.6843
09/13/2012,97.5686
09/14/2012,98.7543
09/17/2012,99.9687
09/18/2012,100.2729
09/19/2012,100.3
09/20/2012,99.8143
09/21/2012,100.0136
09/24/2012,98.6843
09/25/2012,96.22
09/26/2012,95.0257
09/27/2012,97.3314
09/28/2012,95.3007
10/01/2012,94.1986
10/02/2012,94.4729
10/03/2012,95.9214
10/04/2012,95.2571
10/05/2012,93.2271
10/08/2012,91.1671
10/09/2012,90.8357
10/10/2012,91.5586
10/11/2012,89.7286
10/12/2012,89.9591
10/15/2012,90.68
10/16/2012,92.8275
10/17/2012,92.0877
10/18/2012,90.3771
10/19/2012,87.12
10/22/2012,90.5757
10/23/2012,87.6222
10/24/2012,88.1186
10/25/2012,87.0769
10/26/2012,86.2857
10/31/2012,85.0457
11/01/2012,85.22
11/02/2012,82.4
11/05/2012,83.5173
11/06/2012,83.2642
11/07/2012,79.7146
11/08/2012,76.8214
11/09/2012,78.1514
11/12/2012,77.5471
11/13/2012,77.5569
11/14/2012,76.6971
11/15/2012,75.0886
11/16/2012,75.3826
11/19/2012,80.8186
11/20/2012,80.1305
11/21/2012,80.2429
11/23/2012,81.6429
11/26/2012,84.2186
11/27/2012,83.54
11/28/2012,83.2771
11/29/2012,84.1943
11/30/2012,83.6114
12/03/2012,83.7414
12/04/2012,82.2636
12/05/2012,76.9703
12/06/2012,78.1778
12/07/2012,76.1786
12/10/2012,75.6887
12/11/2012,77.3411
12/12/2012,77
12/13/2012,75.67
12/14/2012,72.8277
12/17/2012,74.1186
12/18/2012,76.2714
12/19/2012,75.1871
12/20/2012,74.5329
12/21/2012,74.19
12/24/2012,74.3097
12/26/2012,73.2856
12/27/2012,73.58
12/28/2012,72.7985
12/31/2012,76.0247
01/02/2013,78.4329
01/03/2013,77.4423
01/04/2013,75.2857
01/07/2013,74.8429
01/08/2013,75.0443
01/09/2013,73.8714
01/10/2013,74.7871
01/11/2013,74.3286
01/14/2013,71.6786
01/15/2013,69.4171
01/16/2013,72.2986
01/17/2013,71.8114
01/18/2013,71.4286
01/22/2013,72.11
01/23/2013,73.4293
01/24/2013,64.3571
01/25/2013,62.84
01/28/2013,64.2614
01/29/2013,65.4671
01/30/2013,65.2614
01/31/2013,65.07
02/01/2013,64.8029
02/04/2013,63.188
02/05/2013,65.4063
02/06/2013,65.3357
02/07/2013,66.8886
02/08/2013,67.8543
02/11/2013,68.5614
02/12/2013,66.8429
02/13/2013,66.7157
02/14/2013,66.6557
02/15/2013,65.7371
02/19/2013,65.7129
02/20/2013,64.1214
02/21/2013,63.7229
02/22/2013,64.4014
02/25/2013,63.2571
02/26/2013,64.1386
02/27/2013,63.51
02/28/2013,63.0571
03/01/2013,61.4957
03/04/2013,60.0071
03/05/2013,61.592
03/06/2013,60.8089
03/07/2013,61.5117
03/08/2013,61.6743
03/11/2013,62.5529
03/12/2013,61.2043
03/13/2013,61.1929
03/14/2013,61.7857
03/15/2013,63.38
03/18/2013,65.1029
03/19/2013,64.9271
03/20/2013,64.5829
03/21/2013,64.6757
03/22/2013,65.9871
03/25/2013,66.2257
03/26/2013,65.8766
03/27/2013,64.5829
03/28/2013,63.2371
04/01/2013,61.2729
04/02/2013,61.3989
04/03/2013,61.7129
04/04/2013,61.1029
04/05/2013,60.4571
04/08/2013,60.8871
04/09/2013,60.9971
04/10/2013,62.2414
04/11/2013,62.0471
04/12/2013,61.4
04/15/2013,59.9786
04/16/2013,60.8914
04/17/2013,57.5429
04/18/2013,56.0071
04/19/2013,55.79
