date,price
01/02/2020,28.68
01/03/2020,29.53
01/06/2020,30.10
01/07/2020,31.27
01/08/2020,32.81
01/09/2020,32.09
01/10/2020,31.88
01/13/2020,34.97
01/14/2020,35.86
01/15/2020,34.57
01/16/2020,34.23
01/17/2020,34.03
01/21/2020,36.48
01/22/2020,37.97
01/23/2020,38.15
01/24/2020,37.65
01/27/2020,37.20
01/28/2020,37.79
01/29/2020,38.67
01/30/2020,42.72
01/31/2020,43.37
02/03/2020,52.00
02/04/2020,59.10
02/05/2020,48.98
02/06/2020,49.93
02/07/2020,49.87
02/10/2020,51.41
02/11/2020,51.61
02/12/2020,51.14
02/13/2020,53.60
02/14/2020,53.34
02/18/2020,57.23
02/19/2020,61.16
02/20/2020,60.04
02/21/2020,60.07
02/24/2020,55.59
02/25/2020,53.32
02/26/2020,51.92
02/27/2020,45.27
02/28/2020,44.53
03/02/2020,49.57
03/03/2020,49.70
03/04/2020,49.91
03/05/2020,48.31
03/06/2020,46.90
03/09/2020,40.53
03/10/2020,43.02
03/11/2020,42.28
03/12/2020,37.37
03/13/2020,36.44
03/16/2020,29.67
03/17/2020,28.68
03/18/2020,24.08
03/19/2020,28.51
03/20/2020,28.50
03/23/2020,28.95
03/24/2020,33.67
03/25/2020,35.95
03/26/2020,35.20
03/27/2020,34.29
03/30/2020,33.48
03/31/2020,34.93
04/01/2020,32.10
04/02/2020,30.32
04/03/2020,32.00
04/06/2020,34.42
04/07/2020,36.36
04/08/2020,36.59
04/09/2020,38.20
04/13/2020,43.39
04/14/2020,47.32
04/15/2020,48.66
04/16/2020,49.68
04/17/2020,50.26
04/20/2020,49.76
04/21/2020,45.78
04/22/2020,48.81
04/23/2020,47.04
04/24/2020,48.34
04/27/2020,53.25
04/28/2020,51.27
04/29/2020,53.37
04/30/2020,52.12
05/01/2020,46.75
05/04/2020,50.75
05/05/2020,51.21
05/06/2020,52.17
05/07/2020,52.00
05/08/2020,54.63
05/11/2020,54.09
05/12/2020,53.96
05/13/2020,52.73
05/14/2020,53.56
05/15/2020,53.28
05/18/2020,54.24
05/19/2020,53.87
05/20/2020,54.38
05/21/2020,55.24
05/22/2020,54.46
05/26/2020,54.59
05/27/2020,54.68
05/28/2020,53.72
05/29/2020,55.67
06/01/2020,59.87
06/02/2020,58.77
06/03/2020,58.86
06/04/2020,57.63
06/05/2020,59.04
06/08/2020,63.33
06/09/2020,62.71
06/10/2020,68.34
06/11/2020,64.99
06/12/2020,62.35
06/15/2020,66.06
06/16/2020,65.47
06/17/2020,66.09
06/18/2020,66.93
06/19/2020,66.72
06/22/2020,66.22
06/23/2020,66.79
06/24/2020,64.06
06/25/2020,65.62
06/26/2020,63.98
06/29/2020,67.29
06/30/2020,71.99
07/01/2020,74.64
07/02/2020,80.58
07/06/2020,91.44
07/07/2020,92.66
07/08/2020,91.06
07/09/2020,92.95
07/10/2020,102.95
07/13/2020,99.80
07/14/2020,101.10
07/15/2020,103.07
07/16/2020,100.04
07/17/2020,100.04
07/20/2020,109.57
07/21/2020,104.56
07/22/2020,106.16
07/23/2020,100.88
07/24/2020,94.58
07/27/2020,102.60
07/28/2020,98.41
07/29/2020,99.34
07/30/2020,99.16
07/31/2020,95.38
08/03/2020,99.12
08/04/2020,99.24
08/05/2020,99.17
08/06/2020,99.29
08/07/2020,96.85
08/10/2020,94.57
08/11/2020,91.63
08/12/2020,103.40
08/13/2020,108.07
08/14/2020,110.04
08/17/2020,122.58
08/18/2020,125.29
08/19/2020,125.22
08/20/2020,133.41
08/21/2020,136.60
08/24/2020,134.18
08/25/2020,134.88
08/26/2020,143.54
08/27/2020,149.25
08/28/2020,147.56
08/31/2020,166.11
09/01/2020,158.35
09/02/2020,149.10
09/03/2020,135.67
09/04/2020,139.43
09/08/2020,110.07
09/09/2020,122.09
09/10/2020,123.78
09/11/2020,124.24
09/14/2020,139.91
09/15/2020,149.92
09/16/2020,147.13
09/17/2020,141.15
09/18/2020,147.38
09/21/2020,149.80
09/22/2020,141.40
09/23/2020,126.79
09/24/2020,129.28
09/25/2020,135.78
09/28/2020,140.40
09/29/2020,139.67
09/30/2020,143.00
10/01/2020,149.33
10/02/2020,138.36
10/05/2020,141.89
10/06/2020,137.99
10/07/2020,141.77
10/08/2020,141.98
10/09/2020,144.33
10/12/2020,147.43
10/13/2020,148.88
10/14/2020,153.78
10/15/2020,149.63
10/16/2020,146.55
10/19/2020,143.61
10/20/2020,140.66
10/21/2020,140.87
10/22/2020,141.93
10/23/2020,140.19
10/26/2020,140.10
10/27/2020,141.54
10/28/2020,135.34
10/29/2020,137.28
10/30/2020,129.35
11/02/2020,133.50
11/03/2020,141.30
11/04/2020,140.31
11/05/2020,146.03
11/06/2020,143.31
11/09/2020,140.42
11/10/2020,136.79
11/11/2020,139.04
11/12/2020,137.32
11/13/2020,136.17
11/16/2020,136.05
11/17/2020,147.20
11/18/2020,162.21
11/19/2020,166.54
11/20/2020,163.20
11/23/2020,173.95
11/24/2020,185.13
11/25/2020,191.33
11/27/2020,195.25
11/30/2020,189.20
12/01/2020,194.92
12/02/2020,189.60
12/03/2020,197.78
12/04/2020,199.70
12/07/2020,213.92
12/08/2020,216.47
12/09/2020,201.49
12/10/2020,209.00
12/11/2020,203.33
12/14/2020,213.30
12/15/2020,211.08
12/16/2020,207.59
12/17/2020,218.63
12/18/2020,231.67
12/21/2020,216.61
12/22/2020,213.44
12/23/2020,215.26
12/24/2020,220.59
12/28/2020,221.23
12/29/2020,221.99
12/30/2020,231.59
12/31/2020,235.22
01/04/2021,243.26
01/05/2021,245.04
01/06/2021,251.99
01/07/2021,272.01
01/08/2021,293.34
01/11/2021,270.40
01/12/2021,283.15
01/13/2021,284.80
01/14/2021,281.67
01/15/2021,275.39
01/19/2021,281.52
01/20/2021,283.48
01/21/2021,281.66
01/22/2021,282.21
01/25/2021,293.60
01/26/2021,294.36
01/27/2021,288.05
01/28/2021,278.48
01/29/2021,264.51
02/01/2021,279.94
02/02/2021,290.93
02/03/2021,284.70
02/04/2021,283.33
02/05/2021,284.08
02/08/2021,287.81
02/09/2021,283.13
02/10/2021,268.28
02/11/2021,270.55
02/12/2021,272.04
02/16/2021,265.40
02/17/2021,266.18
02/18/2021,262.36
02/19/2021,260.41
02/22/2021,238.16
02/23/2021,232.95
02/24/2021,247.34
02/25/2021,227.41
02/26/2021,225.17
03/01/2021,239.48
03/02/2021,228.82
03/03/2021,217.73
03/04/2021,207.15
03/05/2021,199.32
03/08/2021,187.67
03/09/2021,224.50
03/10/2021,222.69
03/11/2021,233.20
03/12/2021,231.24
03/15/2021,235.96
03/16/2021,225.65
03/17/2021,233.96
03/18/2021,217.70
03/19/2021,218.28
03/22/2021,223.30
03/23/2021,220.70
03/24/2021,210.11
03/25/2021,213.46
03/26/2021,206.29
03/29/2021,203.76
03/30/2021,211.87
03/31/2021,222.64
04/01/2021,220.61
04/05/2021,230.35
04/06/2021,230.54
04/07/2021,223.66
04/08/2021,227.93
04/09/2021,225.67
04/12/2021,233.99
04/13/2021,254.11
04/14/2021,244.08
04/15/2021,246.22
04/16/2021,246.59
04/19/2021,238.23
04/20/2021,239.66
04/21/2021,248.05
04/22/2021,239.88
04/23/2021,243.13
04/26/2021,246.07
04/27/2021,234.63
04/28/2021,231.34
04/29/2021,225.67
04/30/2021,236.48
05/03/2021,228.30
05/04/2021,224.67
05/05/2021,223.56
05/06/2021,221.17
05/07/2021,224.07
05/10/2021,209.67
05/11/2021,205.61
05/12/2021,196.63
05/13/2021,190.39
05/14/2021,196.56
05/17/2021,192.24
05/18/2021,192.59
05/19/2021,187.97
05/20/2021,196.23
05/21/2021,193.62
05/24/2021,202.15
05/25/2021,201.56
05/26/2021,206.43
05/27/2021,210.26
05/28/2021,208.41
06/01/2021,208.07
06/02/2021,201.83
06/03/2021,190.96
06/04/2021,199.68
06/07/2021,198.37
06/08/2021,207.08
06/09/2021,199.56
06/10/2021,203.37
06/11/2021,203.29
06/14/2021,205.91
06/15/2021,199.79
06/16/2021,201.43
06/17/2021,205.50
06/18/2021,207.79
06/21/2021,206.95
06/22/2021,207.90
06/23/2021,218.85
06/24/2021,226.60
06/25/2021,223.92
06/28/2021,229.59
06/29/2021,226.92
06/30/2021,226.57
